Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-1.00000000E+3	
-8.95000000E+1	-8.59418098E+1	
-8.90000000E+1	-7.52607279E+1	
-8.85000000E+1	-6.83102035E+1	
-8.80000000E+1	-6.30623979E+1	
-8.75000000E+1	-5.88334441E+1	
-8.70000000E+1	-5.53162450E+1	
-8.65000000E+1	-5.23437301E+1	
-8.60000000E+1	-4.98116851E+1	
-8.55000000E+1	-4.76491685E+1	
-8.50000000E+1	-4.58055433E+1	
-8.45000000E+1	-4.42440783E+1	
-8.40000000E+1	-4.29385134E+1	
-8.35000000E+1	-4.18711874E+1	
-8.30000000E+1	-4.10321699E+1	
-8.25000000E+1	-4.04192215E+1	
-8.20000000E+1	-4.00386462E+1	
-8.15000000E+1	-3.99073569E+1	
-8.10000000E+1	-4.00568561E+1	
-8.05000000E+1	-4.05404724E+1	
-8.00000000E+1	-4.14459132E+1	
-7.95000000E+1	-4.29121985E+1	
-7.90000000E+1	-4.51029181E+1	
-7.85000000E+1	-4.76277467E+1	
-7.80000000E+1	-4.72263094E+1	
-7.75000000E+1	-4.33035368E+1	
-7.70000000E+1	-3.94552709E+1	
-7.65000000E+1	-3.63302055E+1	
-7.60000000E+1	-3.37740483E+1	
-7.55000000E+1	-3.16333945E+1	
-7.50000000E+1	-2.98072938E+1	
-7.45000000E+1	-2.82308048E+1	
-7.40000000E+1	-2.68612593E+1	
-7.35000000E+1	-2.56700831E+1	
-7.30000000E+1	-2.46380768E+1	
-7.25000000E+1	-2.37526721E+1	
-7.20000000E+1	-2.30063417E+1	
-7.15000000E+1	-2.23957344E+1	
-7.10000000E+1	-2.19213238E+1	
-7.05000000E+1	-2.15874897E+1	
-7.00000000E+1	-2.14030631E+1	
-6.95000000E+1	-2.13824797E+1	
-6.90000000E+1	-2.15478814E+1	
-6.85000000E+1	-2.19328763E+1	
-6.80000000E+1	-2.25894785E+1	
-6.75000000E+1	-2.36017131E+1	
-6.70000000E+1	-2.51144913E+1	
-6.65000000E+1	-2.73995480E+1	
-6.60000000E+1	-3.09803504E+1	
-6.55000000E+1	-3.55809823E+1	
-6.50000000E+1	-3.25667215E+1	
-6.45000000E+1	-2.71162345E+1	
-6.40000000E+1	-2.32380549E+1	
-6.35000000E+1	-2.03546570E+1	
-6.30000000E+1	-1.80885674E+1	
-6.25000000E+1	-1.62463966E+1	
-6.20000000E+1	-1.47213302E+1	
-6.15000000E+1	-1.34501461E+1	
-6.10000000E+1	-1.23938258E+1	
-6.05000000E+1	-1.15280996E+1	
-6.00000000E+1	-1.08385640E+1	
-5.95000000E+1	-1.03181346E+1	
-5.90000000E+1	-9.96585743E+0	
-5.85000000E+1	-9.78667634E+0	
-5.80000000E+1	-9.79208738E+0	
-5.75000000E+1	-1.00019063E+1	
-5.70000000E+1	-1.04478193E+1	
-5.65000000E+1	-1.11803133E+1	
-5.60000000E+1	-1.22829493E+1	
-5.55000000E+1	-1.39050914E+1	
-5.50000000E+1	-1.63510052E+1	
-5.45000000E+1	-2.04026289E+1	
-5.40000000E+1	-2.93712716E+1	
-5.35000000E+1	-2.77931589E+1	
-5.30000000E+1	-1.90689145E+1	
-5.25000000E+1	-1.46674400E+1	
-5.20000000E+1	-1.17745905E+1	
-5.15000000E+1	-9.68693271E+0	
-5.10000000E+1	-8.12762341E+0	
-5.05000000E+1	-6.96343199E+0	
-5.00000000E+1	-6.12450220E+0	
-4.95000000E+1	-5.57498043E+0	
-4.90000000E+1	-5.30105422E+0	
-4.85000000E+1	-5.30673724E+0	
-4.80000000E+1	-5.61461950E+0	
-4.75000000E+1	-6.27204561E+0	
-4.70000000E+1	-7.36699839E+0	
-4.65000000E+1	-9.06785690E+0	
-4.60000000E+1	-1.17398747E+1	
-4.55000000E+1	-1.64219434E+1	
-4.50000000E+1	-2.95670301E+1	
-4.45000000E+1	-2.02392876E+1	
-4.40000000E+1	-1.28740963E+1	
-4.35000000E+1	-8.98993731E+0	
-4.30000000E+1	-6.45195304E+0	
-4.25000000E+1	-4.68471093E+0	
-4.20000000E+1	-3.45567900E+0	
-4.15000000E+1	-2.65595536E+0	
-4.10000000E+1	-2.23609036E+0	
-4.05000000E+1	-2.18398845E+0	
-4.00000000E+1	-2.51981968E+0	
-3.95000000E+1	-3.30326145E+0	
-3.90000000E+1	-4.65981380E+0	
-3.85000000E+1	-6.85772824E+0	
-3.80000000E+1	-1.05852080E+1	
-3.75000000E+1	-1.87467136E+1	
-3.70000000E+1	-2.19104471E+1	
-3.65000000E+1	-1.10454934E+1	
-3.60000000E+1	-6.43153253E+0	
-3.55000000E+1	-3.61765412E+0	
-3.50000000E+1	-1.75030188E+0	
-3.45000000E+1	-5.22411800E-1	
-3.40000000E+1	1.98850163E-1	
-3.35000000E+1	4.66291215E-1	
-3.30000000E+1	2.80845286E-1	
-3.25000000E+1	-4.07411851E-1	
-3.20000000E+1	-1.72417210E+0	
-3.15000000E+1	-3.95510709E+0	
-3.10000000E+1	-7.86778382E+0	
-3.05000000E+1	-1.70611740E+1	
-3.00000000E+1	-1.67530848E+1	
-2.95000000E+1	-7.20188786E+0	
-2.90000000E+1	-2.88764348E+0	
-2.85000000E+1	-2.60727975E-1	
-2.80000000E+1	1.43477987E+0	
-2.75000000E+1	2.47435297E+0	
-2.70000000E+1	2.97056730E+0	
-2.65000000E+1	2.95354603E+0	
-2.60000000E+1	2.38860056E+0	
-2.55000000E+1	1.15709568E+0	
-2.50000000E+1	-1.02779535E+0	
-2.45000000E+1	-4.95681114E+0	
-2.40000000E+1	-1.44811637E+1	
-2.35000000E+1	-1.31334501E+1	
-2.30000000E+1	-3.90237164E+0	
-2.25000000E+1	3.24526081E-1	
-2.20000000E+1	2.88120745E+0	
-2.15000000E+1	4.49528839E+0	
-2.10000000E+1	5.42948892E+0	
-2.05000000E+1	5.78352714E+0	
-2.00000000E+1	5.56772136E+0	
-1.95000000E+1	4.70983291E+0	
-1.90000000E+1	3.00634216E+0	
-1.85000000E+1	-7.54527730E-2	
-1.80000000E+1	-6.49000924E+0	
-1.75000000E+1	-1.90913206E+1	
-1.70000000E+1	-2.76532330E+0	
-1.65000000E+1	2.51193776E+0	
