Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-1.00000000E+3	
-8.95000000E+1	-7.83594196E+1	
-8.90000000E+1	-6.96685789E+1	
-8.85000000E+1	-6.39419177E+1	
-8.80000000E+1	-5.95773752E+1	
-8.75000000E+1	-5.60301258E+1	
-8.70000000E+1	-5.30491284E+1	
-8.65000000E+1	-5.04998414E+1	
-8.60000000E+1	-4.83020163E+1	
-8.55000000E+1	-4.64035984E+1	
-8.50000000E+1	-4.47687558E+1	
-8.45000000E+1	-4.33720983E+1	
-8.40000000E+1	-4.21958110E+1	
-8.35000000E+1	-4.12282769E+1	
-8.30000000E+1	-4.04635664E+1	
-8.25000000E+1	-3.99015720E+1	
-8.20000000E+1	-3.95487847E+1	
-8.15000000E+1	-3.94199044E+1	
-8.10000000E+1	-3.95406896E+1	
-8.05000000E+1	-3.99527244E+1	
-8.00000000E+1	-4.07207602E+1	
-7.95000000E+1	-4.19401768E+1	
-7.90000000E+1	-4.37152562E+1	
-7.85000000E+1	-4.58870796E+1	
-7.80000000E+1	-4.67499653E+1	
-7.75000000E+1	-4.42385190E+1	
-7.70000000E+1	-4.06569417E+1	
-7.65000000E+1	-3.75116458E+1	
-7.60000000E+1	-3.49047684E+1	
-7.55000000E+1	-3.27252067E+1	
-7.50000000E+1	-3.08760800E+1	
-7.45000000E+1	-2.92904091E+1	
-7.40000000E+1	-2.79231817E+1	
-7.35000000E+1	-2.67441330E+1	
-7.30000000E+1	-2.57330697E+1	
-7.25000000E+1	-2.48770338E+1	
-7.20000000E+1	-2.41686487E+1	
-7.15000000E+1	-2.36052483E+1	
-7.10000000E+1	-2.31885910E+1	
-7.05000000E+1	-2.29250948E+1	
-7.00000000E+1	-2.28266633E+1	
-6.95000000E+1	-2.29123208E+1	
-6.90000000E+1	-2.32111311E+1	
-6.85000000E+1	-2.37673231E+1	
-6.80000000E+1	-2.46493529E+1	
-6.75000000E+1	-2.59654566E+1	
-6.70000000E+1	-2.78826220E+1	
-6.65000000E+1	-3.05603027E+1	
-6.60000000E+1	-3.31161018E+1	
-6.55000000E+1	-3.15854902E+1	
-6.50000000E+1	-2.75513678E+1	
-6.45000000E+1	-2.40466708E+1	
-6.40000000E+1	-2.12647939E+1	
-6.35000000E+1	-1.90163111E+1	
-6.30000000E+1	-1.71591366E+1	
-6.25000000E+1	-1.56036754E+1	
-6.20000000E+1	-1.42933473E+1	
-6.15000000E+1	-1.31918352E+1	
-6.10000000E+1	-1.22758468E+1	
-6.05000000E+1	-1.15310535E+1	
-6.00000000E+1	-1.09498468E+1	
-5.95000000E+1	-1.05302148E+1	
-5.90000000E+1	-1.02754215E+1	
-5.85000000E+1	-1.01944120E+1	
-5.80000000E+1	-1.03030817E+1	
-5.75000000E+1	-1.06268499E+1	
-5.70000000E+1	-1.12055655E+1	
-5.65000000E+1	-1.21031624E+1	
-5.60000000E+1	-1.34283035E+1	
-5.55000000E+1	-1.53847823E+1	
-5.50000000E+1	-1.84226142E+1	
-5.45000000E+1	-2.38722308E+1	
-5.40000000E+1	-3.37557058E+1	
-5.35000000E+1	-2.27581516E+1	
-5.30000000E+1	-1.69887271E+1	
-5.25000000E+1	-1.34847431E+1	
-5.20000000E+1	-1.10325763E+1	
-5.15000000E+1	-9.21518201E+0	
-5.10000000E+1	-7.84538074E+0	
-5.05000000E+1	-6.82731414E+0	
-5.00000000E+1	-6.10993720E+0	
-4.95000000E+1	-5.66850289E+0	
-4.90000000E+1	-5.49700131E+0	
-4.85000000E+1	-5.60625061E+0	
-4.80000000E+1	-6.02647265E+0	
-4.75000000E+1	-6.81595456E+0	
-4.70000000E+1	-8.08212941E+0	
-4.65000000E+1	-1.00359110E+1	
-4.60000000E+1	-1.31635300E+1	
-4.55000000E+1	-1.90527157E+1	
-4.50000000E+1	-3.42675974E+1	
-4.45000000E+1	-1.73923001E+1	
-4.40000000E+1	-1.16619405E+1	
-4.35000000E+1	-8.31017568E+0	
-4.30000000E+1	-6.04922750E+0	
-4.25000000E+1	-4.46136743E+0	
-4.20000000E+1	-3.36571479E+0	
-4.15000000E+1	-2.67608225E+0	
-4.10000000E+1	-2.35563728E+0	
-4.05000000E+1	-2.40139347E+0	
-4.00000000E+1	-2.84262640E+0	
-3.95000000E+1	-3.75179903E+0	
-3.90000000E+1	-5.27851387E+0	
-3.85000000E+1	-7.75100769E+0	
-3.80000000E+1	-1.20762109E+1	
-3.75000000E+1	-2.31916140E+1	
-3.70000000E+1	-1.80179267E+1	
-3.65000000E+1	-9.84819544E+0	
-3.60000000E+1	-5.80840072E+0	
-3.55000000E+1	-3.25969562E+0	
-3.50000000E+1	-1.55532383E+0	
-3.45000000E+1	-4.45957996E-1	
-3.40000000E+1	1.77723497E-1	
-3.35000000E+1	3.55710802E-1	
-3.30000000E+1	7.91099659E-2	
-3.25000000E+1	-7.13432170E-1	
-3.20000000E+1	-2.16741904E+0	
-3.15000000E+1	-4.61711821E+0	
-3.10000000E+1	-9.01237913E+0	
-3.05000000E+1	-2.09258343E+1	
-3.00000000E+1	-1.42315797E+1	
-2.95000000E+1	-6.36183850E+0	
-2.90000000E+1	-2.44814877E+0	
-2.85000000E+1	-1.37653125E-2	
-2.80000000E+1	1.55966504E+0	
-2.75000000E+1	2.50752910E+0	
-2.70000000E+1	2.92521253E+0	
-2.65000000E+1	2.83236554E+0	
-2.60000000E+1	2.18434565E+0	
-2.55000000E+1	8.47144977E-1	
-2.50000000E+1	-1.50224461E+0	
-2.45000000E+1	-5.78917335E+0	
-2.40000000E+1	-1.73379724E+1	
-2.35000000E+1	-1.13199103E+1	
-2.30000000E+1	-3.29573974E+0	
-2.25000000E+1	6.38637207E-1	
-2.20000000E+1	3.05299815E+0	
-2.15000000E+1	4.57556685E+0	
-2.10000000E+1	5.43975603E+0	
-2.05000000E+1	5.73228520E+0	
-2.00000000E+1	5.45478071E+0	
-1.95000000E+1	4.52520294E+0	
