Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-1.68170426E+1	
-8.95000000E+1	-1.36930076E+1	
-8.90000000E+1	-1.38391120E+1	
-8.85000000E+1	-1.39787517E+1	
-8.80000000E+1	-1.41119893E+1	
-8.75000000E+1	-1.42391000E+1	
-8.70000000E+1	-1.43605375E+1	
-8.65000000E+1	-1.44768995E+1	
-8.60000000E+1	-1.45888937E+1	
-8.55000000E+1	-1.46973047E+1	
-8.50000000E+1	-1.48029616E+1	
-8.45000000E+1	-1.49067054E+1	
-8.40000000E+1	-1.50093563E+1	
-8.35000000E+1	-1.51116796E+1	
-8.30000000E+1	-1.52143495E+1	
-8.25000000E+1	-1.53179100E+1	
-8.20000000E+1	-1.54227315E+1	
-8.15000000E+1	-1.55289643E+1	
-8.10000000E+1	-1.56364877E+1	
-8.05000000E+1	-1.57448580E+1	
-8.00000000E+1	-1.58532565E+1	
-7.95000000E+1	-1.59604445E+1	
-7.90000000E+1	-1.60647324E+1	
-7.85000000E+1	-1.61639729E+1	
-7.80000000E+1	-1.62555933E+1	
-7.75000000E+1	-1.63366807E+1	
-7.70000000E+1	-1.64041315E+1	
-7.65000000E+1	-1.64548745E+1	
-7.60000000E+1	-1.64861597E+1	
-7.55000000E+1	-1.64958920E+1	
-7.50000000E+1	-1.64829710E+1	
-7.45000000E+1	-1.64475855E+1	
-7.40000000E+1	-1.63914108E+1	
-7.35000000E+1	-1.63176721E+1	
-7.30000000E+1	-1.62310618E+1	
-7.25000000E+1	-1.61375301E+1	
-7.20000000E+1	-1.60439899E+1	
-7.15000000E+1	-1.59579844E+1	
-7.10000000E+1	-1.58873628E+1	
-7.05000000E+1	-1.58399859E+1	
-7.00000000E+1	-1.58234643E+1	
-6.95000000E+1	-1.58449036E+1	
-6.90000000E+1	-1.59106037E+1	
-6.85000000E+1	-1.60256288E+1	
-6.80000000E+1	-1.61931160E+1	
-6.75000000E+1	-1.64131398E+1	
-6.70000000E+1	-1.66808839E+1	
-6.65000000E+1	-1.69838787E+1	
-6.60000000E+1	-1.72983169E+1	
-6.55000000E+1	-1.75853613E+1	
-6.50000000E+1	-1.77903284E+1	
-6.45000000E+1	-1.78498686E+1	
-6.40000000E+1	-1.77106824E+1	
-6.35000000E+1	-1.73532701E+1	
-6.30000000E+1	-1.68032908E+1	
-6.25000000E+1	-1.61201678E+1	
-6.20000000E+1	-1.53734626E+1	
-6.15000000E+1	-1.46244082E+1	
-6.10000000E+1	-1.39190012E+1	
-6.05000000E+1	-1.32890745E+1	
-6.00000000E+1	-1.27562540E+1	
-5.95000000E+1	-1.23359500E+1	
-5.90000000E+1	-1.20404986E+1	
-5.85000000E+1	-1.18814655E+1	
-5.80000000E+1	-1.18713726E+1	
-5.75000000E+1	-1.20250917E+1	
-5.70000000E+1	-1.23610064E+1	
-5.65000000E+1	-1.29016929E+1	
-5.60000000E+1	-1.36728587E+1	
-5.55000000E+1	-1.46959891E+1	
-5.50000000E+1	-1.59596681E+1	
-5.45000000E+1	-1.73277385E+1	
-5.40000000E+1	-1.83433646E+1	
-5.35000000E+1	-1.82637819E+1	
-5.30000000E+1	-1.69613533E+1	
-5.25000000E+1	-1.51397914E+1	
-5.20000000E+1	-1.33635620E+1	
-5.15000000E+1	-1.18332385E+1	
