Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	1.25534129E+0	
-8.95000000E+1	1.92517369E+0	
-8.90000000E+1	1.88586088E+0	
-8.85000000E+1	1.84621755E+0	
-8.80000000E+1	1.80616053E+0	
-8.75000000E+1	1.76556920E+0	
-8.70000000E+1	1.72429589E+0	
-8.65000000E+1	1.68217526E+0	
-8.60000000E+1	1.63903309E+0	
-8.55000000E+1	1.59469480E+0	
-8.50000000E+1	1.54899376E+0	
-8.45000000E+1	1.50177976E+0	
-8.40000000E+1	1.45292757E+0	
-8.35000000E+1	1.40234573E+0	
-8.30000000E+1	1.34998540E+0	
-8.25000000E+1	1.29584907E+0	
-8.20000000E+1	1.23999897E+0	
-8.15000000E+1	1.18256440E+0	
-8.10000000E+1	1.12374763E+0	
-8.05000000E+1	1.06382728E+0	
-8.00000000E+1	1.00315843E+0	
-7.95000000E+1	9.42168099E-1	
-7.90000000E+1	8.81345087E-1	
-7.85000000E+1	8.21223053E-1	
-7.80000000E+1	7.62355898E-1	
-7.75000000E+1	7.05285103E-1	
-7.70000000E+1	6.50499254E-1	
-7.65000000E+1	5.98386926E-1	
-7.60000000E+1	5.49185153E-1	
-7.55000000E+1	5.02926740E-1	
-7.50000000E+1	4.59390685E-1	
-7.45000000E+1	4.18060469E-1	
-7.40000000E+1	3.78095169E-1	
-7.35000000E+1	3.38317820E-1	
-7.30000000E+1	2.97224539E-1	
-7.25000000E+1	2.53016691E-1	
-7.20000000E+1	2.03657154E-1	
-7.15000000E+1	1.46950883E-1	
-7.10000000E+1	8.06497517E-2	
-7.05000000E+1	2.58216699E-3	
-7.00000000E+1	-8.91909044E-2	
-6.95000000E+1	-1.96190359E-1	
-6.90000000E+1	-3.19299722E-1	
-6.85000000E+1	-4.58508848E-1	
-6.80000000E+1	-6.12621611E-1	
-6.75000000E+1	-7.78939748E-1	
-6.70000000E+1	-9.52956444E-1	
-6.65000000E+1	-1.12812766E+0	
-6.60000000E+1	-1.29583449E+0	
-6.55000000E+1	-1.44569151E+0	
-6.50000000E+1	-1.56636047E+0	
-6.45000000E+1	-1.64694643E+0	
-6.40000000E+1	-1.67885232E+0	
-6.35000000E+1	-1.65769558E+0	
-6.30000000E+1	-1.58470127E+0	
-6.25000000E+1	-1.46706539E+0	
-6.20000000E+1	-1.31715598E+0	
-6.15000000E+1	-1.15087740E+0	
-6.10000000E+1	-9.85777536E-1	
-6.05000000E+1	-8.39418849E-1	
-6.00000000E+1	-7.28279624E-1	
-5.95000000E+1	-6.67191376E-1	
-5.90000000E+1	-6.69159156E-1	
-5.85000000E+1	-7.45352360E-1	
-5.80000000E+1	-9.05041278E-1	
-5.75000000E+1	-1.15523092E+0	
-5.70000000E+1	-1.49966418E+0	
-5.65000000E+1	-1.93670428E+0	
-5.60000000E+1	-2.45539307E+0	
-5.55000000E+1	-3.02897059E+0	
-5.50000000E+1	-3.60624146E+0	
-5.45000000E+1	-4.10534576E+0	
-5.40000000E+1	-4.42238046E+0	
-5.35000000E+1	-4.46844807E+0	
-5.30000000E+1	-4.22139780E+0	
-5.25000000E+1	-3.74327509E+0	
