Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	1.25477063E+0	
-8.95000000E+1	1.92467312E+0	
-8.90000000E+1	1.88540485E+0	
-8.85000000E+1	1.84581671E+0	
-8.80000000E+1	1.80582770E+0	
-8.75000000E+1	1.76531900E+0	
-8.70000000E+1	1.72414452E+0	
-8.65000000E+1	1.68214043E+0	
-8.60000000E+1	1.63913405E+0	
-8.55000000E+1	1.59495234E+0	
-8.50000000E+1	1.54943036E+0	
-8.45000000E+1	1.50241966E+0	
-8.40000000E+1	1.45379685E+0	
-8.35000000E+1	1.40347228E+0	
-8.30000000E+1	1.35139887E+0	
-8.25000000E+1	1.29758072E+0	
-8.20000000E+1	1.24208132E+0	
-8.15000000E+1	1.18503075E+0	
-8.10000000E+1	1.12663136E+0	
-8.05000000E+1	1.06716097E+0	
-8.00000000E+1	1.00697266E+0	
-7.95000000E+1	9.46490049E-1	
-7.90000000E+1	8.86196927E-1	
-7.85000000E+1	8.26620082E-1	
-7.80000000E+1	7.68304588E-1	
-7.75000000E+1	7.11781115E-1	
-7.70000000E+1	6.57525569E-1	
-7.65000000E+1	6.05912252E-1	
-7.60000000E+1	5.57162779E-1	
-7.55000000E+1	5.11294016E-1	
-7.50000000E+1	4.68069243E-1	
-7.45000000E+1	4.26957283E-1	
-7.40000000E+1	3.87104437E-1	
-7.35000000E+1	3.47323612E-1	
-7.30000000E+1	3.06104048E-1	
-7.25000000E+1	2.61643916E-1	
-7.20000000E+1	2.11906797E-1	
-7.15000000E+1	1.54702314E-1	
-7.10000000E+1	8.77909391E-2	
-7.05000000E+1	9.01357848E-3	
-7.00000000E+1	-8.35523103E-2	
-6.95000000E+1	-1.91406828E-1	
-6.90000000E+1	-3.15407782E-1	
-6.85000000E+1	-4.55513444E-1	
-6.80000000E+1	-6.10489070E-1	
-6.75000000E+1	-7.77589651E-1	
-6.70000000E+1	-9.52253093E-1	
-6.65000000E+1	-1.12787284E+0	
-6.60000000E+1	-1.29576462E+0	
-6.55000000E+1	-1.44548358E+0	
-6.50000000E+1	-1.56565142E+0	
-6.45000000E+1	-1.64536815E+0	
-6.40000000E+1	-1.67607919E+0	
-6.35000000E+1	-1.65349372E+0	
-6.30000000E+1	-1.57896475E+0	
-6.25000000E+1	-1.45982718E+0	
-6.20000000E+1	-1.30857158E+0	
-6.15000000E+1	-1.14118948E+0	
-6.10000000E+1	-9.75275085E-1	
-6.05000000E+1	-8.28402179E-1	
-6.00000000E+1	-7.17036866E-1	
-5.95000000E+1	-6.55986958E-1	
-5.90000000E+1	-6.58231816E-1	
-5.85000000E+1	-7.34919530E-1	
-5.80000000E+1	-8.95307012E-1	
-5.75000000E+1	-1.14639498E+0	
-5.70000000E+1	-1.49192956E+0	
-5.65000000E+1	-1.93027847E+0	
-5.60000000E+1	-2.45047348E+0	
-5.55000000E+1	-3.02569605E+0	
-5.50000000E+1	-3.60458555E+0	
-5.45000000E+1	-4.10495084E+0	
-5.40000000E+1	-4.42243222E+0	
-5.35000000E+1	-4.46781469E+0	
-5.30000000E+1	-4.21909786E+0	
-5.25000000E+1	-3.73888562E+0	
-5.20000000E+1	-3.13678086E+0	
-5.15000000E+1	-2.51904587E+0	
-5.10000000E+1	-1.96420159E+0	
-5.05000000E+1	-1.52296766E+0	
-5.00000000E+1	-1.22704051E+0	
-4.95000000E+1	-1.09767633E+0	
-4.90000000E+1	-1.15175242E+0	
-4.85000000E+1	-1.40552364E+0	
-4.80000000E+1	-1.87647880E+0	
-4.75000000E+1	-2.58273447E+0	
-4.70000000E+1	-3.53681207E+0	
-4.65000000E+1	-4.72380273E+0	
-4.60000000E+1	-6.03910801E+0	
-4.55000000E+1	-7.16261204E+0	
-4.50000000E+1	-7.53324145E+0	
-4.45000000E+1	-6.86352871E+0	
-4.40000000E+1	-5.56177833E+0	
-4.35000000E+1	-4.16964270E+0	
-4.30000000E+1	-2.96320170E+0	
-4.25000000E+1	-2.03210829E+0	
-4.20000000E+1	-1.39599599E+0	
-4.15000000E+1	-1.05752390E+0	
-4.10000000E+1	-1.02203393E+0	
-4.05000000E+1	-1.30578709E+0	
-4.00000000E+1	-1.94177580E+0	
-3.95000000E+1	-2.98659052E+0	
-3.90000000E+1	-4.52733789E+0	
-3.85000000E+1	-6.66539224E+0	
-3.80000000E+1	-9.30169651E+0	
-3.75000000E+1	-1.10268917E+1	
-3.70000000E+1	-9.55259832E+0	
-3.65000000E+1	-6.74709178E+0	
-3.60000000E+1	-4.36541759E+0	
-3.55000000E+1	-2.61154004E+0	
-3.50000000E+1	-1.39995242E+0	
-3.45000000E+1	-6.51733411E-1	
-3.40000000E+1	-3.24324579E-1	
-3.35000000E+1	-4.09636235E-1	
-3.30000000E+1	-9.35124871E-1	
-3.25000000E+1	-1.97547156E+0	
-3.20000000E+1	-3.68584841E+0	
