Far field
"Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-1.11045708E+2	
-8.95000000E+1	-8.92988878E+1	
-8.90000000E+1	-7.10478574E+1	
-8.85000000E+1	-6.04429925E+1	
-8.80000000E+1	-5.29323873E+1	
-8.75000000E+1	-4.71108508E+1	
-8.70000000E+1	-4.23561834E+1	
-8.65000000E+1	-3.83374902E+1	
-8.60000000E+1	-3.48576886E+1	
-8.55000000E+1	-3.17899261E+1	
-8.50000000E+1	-2.90478033E+1	
-8.45000000E+1	-2.65698891E+1	
-8.40000000E+1	-2.43110108E+1	
-8.35000000E+1	-2.22370471E+1	
-8.30000000E+1	-2.03216584E+1	
-8.25000000E+1	-1.85441492E+1	
-8.20000000E+1	-1.68880229E+1	
-8.15000000E+1	-1.53399768E+1	
-8.10000000E+1	-1.38891857E+1	
-8.05000000E+1	-1.25267810E+1	
-8.00000000E+1	-1.12454645E+1	
-7.95000000E+1	-1.00392192E+1	
-7.90000000E+1	-8.90308860E+0	
-7.85000000E+1	-7.83300754E+0	
-7.80000000E+1	-6.82567241E+0	
-7.75000000E+1	-5.87844063E+0	
-7.70000000E+1	-4.98925395E+0	
-7.65000000E+1	-4.15658099E+0	
-7.60000000E+1	-3.37937578E+0	
-7.55000000E+1	-2.65705059E+0	
-7.50000000E+1	-1.98946173E+0	
-7.45000000E+1	-1.37690821E+0	
-7.40000000E+1	-8.20143718E-1	
-7.35000000E+1	-3.20403472E-1	
-7.30000000E+1	1.20551470E-1	
-7.25000000E+1	5.00368259E-1	
-7.20000000E+1	8.16008273E-1	
-7.15000000E+1	1.06361547E+0	
-7.10000000E+1	1.23833241E+0	
-7.05000000E+1	1.33404127E+0	
-7.00000000E+1	1.34299379E+0	
-6.95000000E+1	1.25527156E+0	
-6.90000000E+1	1.05797714E+0	
-6.85000000E+1	7.33980200E-1	
-6.80000000E+1	2.59891763E-1	
-6.75000000E+1	-3.97382717E-1	
-6.70000000E+1	-1.28690337E+0	
-6.65000000E+1	-2.48607127E+0	
-6.60000000E+1	-4.12807381E+0	
-6.55000000E+1	-6.47376225E+0	
-6.50000000E+1	-1.01579133E+1	
-6.45000000E+1	-1.76617491E+1	
-6.40000000E+1	-2.40825353E+1	
-6.35000000E+1	-1.14608213E+1	
-6.30000000E+1	-6.36565723E+0	
-6.25000000E+1	-3.11295825E+0	
-6.20000000E+1	-7.42047404E-1	
-6.15000000E+1	1.09238435E+0	
-6.10000000E+1	2.55251145E+0	
-6.05000000E+1	3.72585757E+0	
-6.00000000E+1	4.66329826E+0	
