Far field
"Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-8.23370772E+1	
-8.95000000E+1	-7.97120490E+1	
-8.90000000E+1	-6.49463628E+1	
-8.85000000E+1	-5.44377165E+1	
-8.80000000E+1	-4.69386621E+1	
-8.75000000E+1	-4.11186119E+1	
-8.70000000E+1	-3.63623704E+1	
-8.65000000E+1	-3.23405155E+1	
-8.60000000E+1	-2.88564407E+1	
-8.55000000E+1	-2.57834898E+1	
-8.50000000E+1	-2.30353566E+1	
-8.45000000E+1	-2.05506580E+1	
-8.40000000E+1	-1.82842474E+1	
-8.35000000E+1	-1.62020173E+1	
-8.30000000E+1	-1.42776348E+1	
-8.25000000E+1	-1.24904068E+1	
-8.20000000E+1	-1.08238362E+1	
-8.15000000E+1	-9.26461740E+0	
-8.10000000E+1	-7.80192108E+0	
-8.05000000E+1	-6.42687300E+0	
-8.00000000E+1	-5.13216865E+0	
-7.95000000E+1	-3.91178346E+0	
-7.90000000E+1	-2.76075262E+0	
-7.85000000E+1	-1.67500209E+0	
-7.80000000E+1	-6.51218495E-1	
-7.75000000E+1	3.13251204E-1	
-7.70000000E+1	1.22047638E+0	
-7.65000000E+1	2.07200027E+0	
-7.60000000E+1	2.86888138E+0	
-7.55000000E+1	3.61172073E+0	
-7.50000000E+1	4.30067602E+0	
-7.45000000E+1	4.93546301E+0	
-7.40000000E+1	5.51534356E+0	
-7.35000000E+1	6.03909880E+0	
-7.30000000E+1	6.50498484E+0	
-7.25000000E+1	6.91066688E+0	
-7.20000000E+1	7.25312519E+0	
-7.15000000E+1	7.52852355E+0	
-7.10000000E+1	7.73202527E+0	
-7.05000000E+1	7.85753421E+0	
-7.00000000E+1	7.89732476E+0	
-6.95000000E+1	7.84150211E+0	
-6.90000000E+1	7.67719326E+0	
-6.85000000E+1	7.38729315E+0	
-6.80000000E+1	6.94843854E+0	
-6.75000000E+1	6.32756062E+0	
-6.70000000E+1	5.47562378E+0	
-6.65000000E+1	4.31524749E+0	
-6.60000000E+1	2.71325352E+0	
-6.55000000E+1	4.08764201E-1	
-6.50000000E+1	-3.23316978E+0	
-6.45000000E+1	-1.06951714E+1	
-6.40000000E+1	-1.70576878E+1	
-6.35000000E+1	-4.39542926E+0	
-6.30000000E+1	7.47463182E-1	
-6.25000000E+1	4.04999719E+0	
-6.20000000E+1	6.47252531E+0	
-6.15000000E+1	8.36031755E+0	
-6.10000000E+1	9.87557118E+0	
-6.05000000E+1	1.11058545E+1	
-6.00000000E+1	1.21020985E+1	
-5.95000000E+1	1.28946495E+1	
-5.90000000E+1	1.35008404E+1	
-5.85000000E+1	1.39287023E+1	
-5.80000000E+1	1.41786071E+1	
-5.75000000E+1	1.42435207E+1	
-5.70000000E+1	1.41079673E+1	
-5.65000000E+1	1.37453026E+1	
-5.60000000E+1	1.31120844E+1	
-5.55000000E+1	1.21364762E+1	
-5.50000000E+1	1.06922959E+1	
-5.45000000E+1	8.53144310E+0	
-5.40000000E+1	5.05652302E+0	
-5.35000000E+1	-1.97419599E+0	
-5.30000000E+1	-1.07353959E+1	
-5.25000000E+1	3.21526373E+0	
-5.20000000E+1	8.45387240E+0	
-5.15000000E+1	1.17155455E+1	
-5.10000000E+1	1.40289805E+1	
-5.05000000E+1	1.57531933E+1	
-5.00000000E+1	1.70517672E+1	
-4.95000000E+1	1.80082958E+1	
-4.90000000E+1	1.86656216E+1	
-4.85000000E+1	1.90412691E+1	
-4.80000000E+1	1.91330080E+1	
-4.75000000E+1	1.89185231E+1	
-4.70000000E+1	1.83489862E+1	
-4.65000000E+1	1.73318759E+1	
-4.60000000E+1	1.56869967E+1	
-4.55000000E+1	1.30136600E+1	
-4.50000000E+1	8.11268630E+0	
-4.45000000E+1	-9.34035500E+0	
-4.40000000E+1	6.35279348E+0	
-4.35000000E+1	1.33267250E+1	
-4.30000000E+1	1.72058207E+1	
-4.25000000E+1	1.98316103E+1	
-4.20000000E+1	2.17269993E+1	
-4.15000000E+1	2.31076327E+1	
-4.10000000E+1	2.40748139E+1	
-4.05000000E+1	2.46731027E+1	
-4.00000000E+1	2.49096630E+1	
-3.95000000E+1	2.47569641E+1	
-3.90000000E+1	2.41413616E+1	
-3.85000000E+1	2.29059810E+1	
-3.80000000E+1	2.06964926E+1	
-3.75000000E+1	1.64876990E+1	
-3.70000000E+1	3.55023894E+0	
-3.65000000E+1	1.32950465E+1	
-3.60000000E+1	2.13003787E+1	
-3.55000000E+1	2.57332436E+1	
-3.50000000E+1	2.88370117E+1	
-3.45000000E+1	3.12101721E+1	
-3.40000000E+1	3.31019266E+1	
-3.35000000E+1	3.46397245E+1	
-3.30000000E+1	3.58969749E+1	
-3.25000000E+1	3.69191700E+1	
-3.20000000E+1	3.77357104E+1	
-3.15000000E+1	3.83658625E+1	
-3.10000000E+1	3.88219746E+1	
-3.05000000E+1	3.91112698E+1	
-3.00000000E+1	3.92368178E+1	
-2.95000000E+1	3.91979684E+1	
-2.90000000E+1	3.89903614E+1	
-2.85000000E+1	3.86055183E+1	
-2.80000000E+1	3.80299118E+1	
-2.75000000E+1	3.72432519E+1	
-2.70000000E+1	3.62154300E+1	
-2.65000000E+1	3.49009084E+1	
-2.60000000E+1	3.32277071E+1	
-2.55000000E+1	3.10734360E+1	
-2.50000000E+1	2.82044749E+1	
-2.45000000E+1	2.40786661E+1	
-2.40000000E+1	1.68105467E+1	
-2.35000000E+1	1.56829643E+0	
-2.30000000E+1	1.82141701E+1	
