Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-1.00000000E+3	
-8.95000000E+1	-4.60366976E+1	
-8.90000000E+1	-4.48442548E+1	
-8.85000000E+1	-4.33341107E+1	
-8.80000000E+1	-4.17673274E+1	
-8.75000000E+1	-4.02533311E+1	
-8.70000000E+1	-3.88249681E+1	
-8.65000000E+1	-3.74858605E+1	
-8.60000000E+1	-3.62307215E+1	
-8.55000000E+1	-3.50528981E+1	
-8.50000000E+1	-3.39468542E+1	
-8.45000000E+1	-3.29087853E+1	
-8.40000000E+1	-3.19365995E+1	
-8.35000000E+1	-3.10297277E+1	
-8.30000000E+1	-3.01889315E+1	
-8.25000000E+1	-2.94161683E+1	
-8.20000000E+1	-2.87145298E+1	
-8.15000000E+1	-2.80882627E+1	
-8.10000000E+1	-2.75428775E+1	
-8.05000000E+1	-2.70853635E+1	
-8.00000000E+1	-2.67245411E+1	
-7.95000000E+1	-2.64716086E+1	
-7.90000000E+1	-2.63409879E+1	
-7.85000000E+1	-2.63516524E+1	
-7.80000000E+1	-2.65292911E+1	
-7.75000000E+1	-2.69100058E+1	
-7.70000000E+1	-2.75470469E+1	
-7.65000000E+1	-2.85241494E+1	
-7.60000000E+1	-2.99850475E+1	
-7.55000000E+1	-3.22097325E+1	
-7.50000000E+1	-3.58603130E+1	
-7.45000000E+1	-4.28765964E+1	
-7.40000000E+1	-4.24671382E+1	
-7.35000000E+1	-3.45737964E+1	
-7.30000000E+1	-3.00694203E+1	
-7.25000000E+1	-2.70212419E+1	
-7.20000000E+1	-2.47778341E+1	
-7.15000000E+1	-2.30724886E+1	
-7.10000000E+1	-2.17772493E+1	
-7.05000000E+1	-2.08274747E+1	
-7.00000000E+1	-2.01938157E+1	
-6.95000000E+1	-1.98713665E+1	
-6.90000000E+1	-1.98772309E+1	
-6.85000000E+1	-2.02548061E+1	
-6.80000000E+1	-2.10878913E+1	
-6.75000000E+1	-2.25371128E+1	
-6.70000000E+1	-2.49449946E+1	
-6.65000000E+1	-2.92427534E+1	
-6.60000000E+1	-3.98713394E+1	
-6.55000000E+1	-3.37931981E+1	
-6.50000000E+1	-2.62235991E+1	
-6.45000000E+1	-2.22809412E+1	
-6.40000000E+1	-1.97865326E+1	
-6.35000000E+1	-1.81572904E+1	
-6.30000000E+1	-1.71736081E+1	
-6.25000000E+1	-1.67550776E+1	
-6.20000000E+1	-1.69028472E+1	
-6.15000000E+1	-1.76977191E+1	
-6.10000000E+1	-1.93510850E+1	
-6.05000000E+1	-2.24043851E+1	
-6.00000000E+1	-2.88092564E+1	
-5.95000000E+1	-3.93667784E+1	
-5.90000000E+1	-2.49332789E+1	
-5.85000000E+1	-1.98291669E+1	
-5.80000000E+1	-1.69820387E+1	
-5.75000000E+1	-1.53281681E+1	
-5.70000000E+1	-1.45424779E+1	
-5.65000000E+1	-1.45409369E+1	
-5.60000000E+1	-1.53940779E+1	
-5.55000000E+1	-1.73885735E+1	
