Far field
"Plane Wave Theta"[deg]	"FarField2 [dBsm]"	
-9.00000000E+1	-1.00000000E+3	
-8.95000000E+1	-9.79785333E+1	
-8.90000000E+1	-9.42500899E+1	
-8.85000000E+1	-8.48583107E+1	
-8.80000000E+1	-7.86607672E+1	
-8.75000000E+1	-7.43012980E+1	
-8.70000000E+1	-7.09774929E+1	
-8.65000000E+1	-6.83232313E+1	
-8.60000000E+1	-6.61466731E+1	
-8.55000000E+1	-6.43364535E+1	
-8.50000000E+1	-6.28236516E+1	
-8.45000000E+1	-6.15643344E+1	
-8.40000000E+1	-6.05308450E+1	
-8.35000000E+1	-5.97073315E+1	
-8.30000000E+1	-5.90876639E+1	
-8.25000000E+1	-5.86750245E+1	
-8.20000000E+1	-5.84831130E+1	
-8.15000000E+1	-5.85395542E+1	
-8.10000000E+1	-5.88932397E+1	
-8.05000000E+1	-5.96301580E+1	
-8.00000000E+1	-6.09110020E+1	
-7.95000000E+1	-6.30781520E+1	
-7.90000000E+1	-6.70757713E+1	
-7.85000000E+1	-7.79651478E+1	
-7.80000000E+1	-7.09786654E+1	
-7.75000000E+1	-6.25912787E+1	
-7.70000000E+1	-5.78926164E+1	
-7.65000000E+1	-5.45286666E+1	
-7.60000000E+1	-5.18770720E+1	
-7.55000000E+1	-4.96812022E+1	
-7.50000000E+1	-4.78107561E+1	
-7.45000000E+1	-4.61910953E+1	
-7.40000000E+1	-4.47761625E+1	
-7.35000000E+1	-4.35362900E+1	
-7.30000000E+1	-4.24520922E+1	
-7.25000000E+1	-4.15111906E+1	
-7.20000000E+1	-4.07064097E+1	
-7.15000000E+1	-4.00348281E+1	
-7.10000000E+1	-3.94974024E+1	
-7.05000000E+1	-3.90990635E+1	
-7.00000000E+1	-3.88493110E+1	
-6.95000000E+1	-3.87634747E+1	
-6.90000000E+1	-3.88650401E+1	
-6.85000000E+1	-3.91898998E+1	
-6.80000000E+1	-3.97944945E+1	
-6.75000000E+1	-4.07727613E+1	
-6.70000000E+1	-4.22962294E+1	
-6.65000000E+1	-4.47295250E+1	
-6.60000000E+1	-4.90999343E+1	
-6.55000000E+1	-6.17793173E+1	
-6.50000000E+1	-5.24382925E+1	
-6.45000000E+1	-4.45312353E+1	
-6.40000000E+1	-4.01178921E+1	
-6.35000000E+1	-3.69985133E+1	
-6.30000000E+1	-3.45815894E+1	
-6.25000000E+1	-3.26217438E+1	
-6.20000000E+1	-3.09946638E+1	
-6.15000000E+1	-2.96299230E+1	
-6.10000000E+1	-2.84851009E+1	
-6.05000000E+1	-2.75341527E+1	
-6.00000000E+1	-2.67616737E+1	
-5.95000000E+1	-2.61599761E+1	
-5.90000000E+1	-2.57277174E+1	
-5.85000000E+1	-2.54695725E+1	
-5.80000000E+1	-2.53968317E+1	
-5.75000000E+1	-2.55291325E+1	
-5.70000000E+1	-2.58979836E+1	
-5.65000000E+1	-2.65536755E+1	
-5.60000000E+1	-2.75795572E+1	
-5.55000000E+1	-2.91249146E+1	
-5.50000000E+1	-3.14952555E+1	
-5.45000000E+1	-3.54874820E+1	
-5.40000000E+1	-4.48895447E+1	
-5.35000000E+1	-4.36926462E+1	
-5.30000000E+1	-3.41639627E+1	
-5.25000000E+1	-2.96002616E+1	
-5.20000000E+1	-2.66069650E+1	
-5.15000000E+1	-2.44363725E+1	
-5.10000000E+1	-2.28016093E+1	
-5.05000000E+1	-2.15659993E+1	
-5.00000000E+1	-2.06581848E+1	
-4.95000000E+1	-2.00415349E+1	
-4.90000000E+1	-1.97017668E+1	
-4.85000000E+1	-1.96425514E+1	
-4.80000000E+1	-1.98861636E+1	
-4.75000000E+1	-2.04795718E+1	
-4.70000000E+1	-2.15101851E+1	
-4.65000000E+1	-2.31453069E+1	
-4.60000000E+1	-2.57477571E+1	
-4.55000000E+1	-3.03503475E+1	
-4.50000000E+1	-4.36905741E+1	
-4.45000000E+1	-3.43480754E+1	
-4.40000000E+1	-2.67798198E+1	
-4.35000000E+1	-2.28093117E+1	
-4.30000000E+1	-2.02040668E+1	
-4.25000000E+1	-1.83764039E+1	
-4.20000000E+1	-1.70903874E+1	
-4.15000000E+1	-1.62357725E+1	
-4.10000000E+1	-1.57624376E+1	
-4.05000000E+1	-1.56578626E+1	
-4.00000000E+1	-1.59418586E+1	
-3.95000000E+1	-1.66736730E+1	
-3.90000000E+1	-1.79780873E+1	
-3.85000000E+1	-2.01217392E+1	
-3.80000000E+1	-2.37877570E+1	
-3.75000000E+1	-3.18522866E+1	
-3.70000000E+1	-3.53132610E+1	
-3.65000000E+1	-2.42136012E+1	
-3.60000000E+1	-1.95308465E+1	
-3.55000000E+1	-1.66643590E+1	
-3.50000000E+1	-1.47496925E+1	
-3.45000000E+1	-1.34770980E+1	
-3.40000000E+1	-1.27127261E+1	
-3.35000000E+1	-1.24032553E+1	
-3.30000000E+1	-1.25473947E+1	
-3.25000000E+1	-1.31946984E+1	
-3.20000000E+1	-1.44702748E+1	
-3.15000000E+1	-1.66584637E+1	
-3.10000000E+1	-2.05222689E+1	
-3.05000000E+1	-2.96248810E+1	
-3.00000000E+1	-2.94782472E+1	
-2.95000000E+1	-1.98164410E+1	
-2.90000000E+1	-1.54543675E+1	
-2.85000000E+1	-1.27883578E+1	
-2.80000000E+1	-1.10569846E+1	
-2.75000000E+1	-9.98328137E+0	
-2.70000000E+1	-9.45406302E+0	
-2.65000000E+1	-9.43885808E+0	
-2.60000000E+1	-9.97205232E+0	
