Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-1.00000000E+3	
-8.95000000E+1	-4.79534450E+1	
-8.90000000E+1	-4.79267890E+1	
-8.85000000E+1	-4.78826433E+1	
-8.80000000E+1	-4.78214312E+1	
-8.75000000E+1	-4.77437473E+1	
-8.70000000E+1	-4.76503594E+1	
-8.65000000E+1	-4.75422090E+1	
-8.60000000E+1	-4.74204094E+1	
-8.55000000E+1	-4.72862405E+1	
-8.50000000E+1	-4.71411380E+1	
-8.45000000E+1	-4.69866755E+1	
-8.40000000E+1	-4.68245363E+1	
-8.35000000E+1	-4.66564732E+1	
-8.30000000E+1	-4.64842529E+1	
-8.25000000E+1	-4.63095833E+1	
-8.20000000E+1	-4.61340179E+1	
-8.15000000E+1	-4.59588364E+1	
-8.10000000E+1	-4.57848962E+1	
-8.05000000E+1	-4.56124524E+1	
-8.00000000E+1	-4.54409473E+1	
-7.95000000E+1	-4.52687748E+1	
-7.90000000E+1	-4.50930364E+1	
-7.85000000E+1	-4.49093274E+1	
-7.80000000E+1	-4.47116108E+1	
-7.75000000E+1	-4.44922745E+1	
-7.70000000E+1	-4.42424776E+1	
-7.65000000E+1	-4.39528838E+1	
-7.60000000E+1	-4.36147988E+1	
-7.55000000E+1	-4.32215838E+1	
-7.50000000E+1	-4.27700472E+1	
-7.45000000E+1	-4.22614142E+1	
-7.40000000E+1	-4.17015540E+1	
-7.35000000E+1	-4.11003863E+1	
-7.30000000E+1	-4.04706842E+1	
-7.25000000E+1	-3.98266574E+1	
-7.20000000E+1	-3.91826817E+1	
-7.15000000E+1	-3.85523921E+1	
-7.10000000E+1	-3.79481849E+1	
-7.05000000E+1	-3.73810674E+1	
-7.00000000E+1	-3.68607444E+1	
-6.95000000E+1	-3.63958433E+1	
-6.90000000E+1	-3.59942013E+1	
-6.85000000E+1	-3.56631723E+1	
-6.80000000E+1	-3.54099306E+1	
-6.75000000E+1	-3.52417660E+1	
-6.70000000E+1	-3.51663773E+1	
-6.65000000E+1	-3.51921713E+1	
-6.60000000E+1	-3.53285827E+1	
-6.55000000E+1	-3.55864278E+1	
-6.50000000E+1	-3.59783008E+1	
-6.45000000E+1	-3.65190061E+1	
-6.40000000E+1	-3.72259776E+1	
-6.35000000E+1	-3.81195159E+1	
-6.30000000E+1	-3.92223692E+1	
-6.25000000E+1	-4.05573912E+1	
-6.20000000E+1	-4.21400421E+1	
-6.15000000E+1	-4.39582732E+1	
-6.10000000E+1	-4.59276964E+1	
-6.05000000E+1	-4.78297626E+1	
-6.00000000E+1	-4.93525669E+1	
-5.95000000E+1	-5.03993399E+1	
-5.90000000E+1	-5.12891227E+1	
-5.85000000E+1	-5.23265885E+1	
-5.80000000E+1	-5.27553492E+1	
-5.75000000E+1	-5.05436045E+1	
-5.70000000E+1	-4.66274446E+1	
-5.65000000E+1	-4.28995166E+1	
-5.60000000E+1	-3.97608305E+1	
-5.55000000E+1	-3.71576140E+1	
-5.50000000E+1	-3.49957181E+1	
-5.45000000E+1	-3.32020017E+1	
-5.40000000E+1	-3.17255149E+1	
-5.35000000E+1	-3.05319829E+1	
-5.30000000E+1	-2.95993182E+1	
-5.25000000E+1	-2.89147232E+1	
-5.20000000E+1	-2.84730272E+1	
-5.15000000E+1	-2.82759455E+1	
-5.10000000E+1	-2.83321092E+1	
-5.05000000E+1	-2.86578742E+1	
-5.00000000E+1	-2.92790840E+1	
-4.95000000E+1	-3.02341826E+1	
-4.90000000E+1	-3.15793721E+1	
-4.85000000E+1	-3.33967393E+1	
-4.80000000E+1	-3.58049862E+1	
-4.75000000E+1	-3.89592413E+1	
-4.70000000E+1	-4.29308471E+1	
-4.65000000E+1	-4.69226979E+1	
-4.60000000E+1	-4.87541264E+1	
-4.55000000E+1	-4.98306441E+1	
-4.50000000E+1	-5.23669868E+1	
-4.45000000E+1	-4.78810515E+1	
-4.40000000E+1	-4.08042218E+1	
-4.35000000E+1	-3.57749891E+1	
-4.30000000E+1	-3.20801291E+1	
-4.25000000E+1	-2.92650806E+1	
-4.20000000E+1	-2.70956019E+1	
-4.15000000E+1	-2.54422799E+1	
-4.10000000E+1	-2.42307405E+1	
-4.05000000E+1	-2.34194862E+1	
-4.00000000E+1	-2.29896178E+1	
-3.95000000E+1	-2.29405135E+1	
-3.90000000E+1	-2.32893294E+1	
-3.85000000E+1	-2.40740560E+1	
