Far field
"Plane Wave Theta"[deg]	"FarField2 [dBsm]"	
-9.00000000E+1	-1.00000000E+3	
-8.95000000E+1	-6.00890729E+1	
-8.90000000E+1	-6.00639761E+1	
-8.85000000E+1	-5.98126924E+1	
-8.80000000E+1	-5.87821296E+1	
-8.75000000E+1	-5.64830150E+1	
-8.70000000E+1	-5.32954796E+1	
-8.65000000E+1	-4.99228165E+1	
-8.60000000E+1	-4.67228229E+1	
-8.55000000E+1	-4.37888370E+1	
-8.50000000E+1	-4.11176921E+1	
-8.45000000E+1	-3.86811348E+1	
-8.40000000E+1	-3.64483300E+1	
-8.35000000E+1	-3.43918871E+1	
-8.30000000E+1	-3.24888795E+1	
-8.25000000E+1	-3.07204668E+1	
-8.20000000E+1	-2.90712255E+1	
-8.15000000E+1	-2.75285079E+1	
-8.10000000E+1	-2.60819086E+1	
-8.05000000E+1	-2.47228390E+1	
-8.00000000E+1	-2.34441950E+1	
-7.95000000E+1	-2.22400979E+1	
-7.90000000E+1	-2.11056926E+1	
-7.85000000E+1	-2.00369906E+1	
-7.80000000E+1	-1.90307464E+1	
-7.75000000E+1	-1.80843633E+1	
-7.70000000E+1	-1.71958192E+1	
-7.65000000E+1	-1.63636121E+1	
-7.60000000E+1	-1.55867198E+1	
-7.55000000E+1	-1.48645745E+1	
-7.50000000E+1	-1.41970493E+1	
-7.45000000E+1	-1.35844575E+1	
-7.40000000E+1	-1.30275652E+1	
-7.35000000E+1	-1.25276186E+1	
-7.30000000E+1	-1.20863889E+1	
-7.25000000E+1	-1.17062383E+1	
-7.20000000E+1	-1.13902144E+1	
-7.15000000E+1	-1.11421824E+1	
-7.10000000E+1	-1.09670093E+1	
-7.05000000E+1	-1.08708234E+1	
-7.00000000E+1	-1.08613853E+1	
-6.95000000E+1	-1.09486285E+1	
-6.90000000E+1	-1.11454703E+1	
-6.85000000E+1	-1.14690680E+1	
-6.80000000E+1	-1.19428505E+1	
-6.75000000E+1	-1.25999738E+1	
-6.70000000E+1	-1.34896017E+1	
-6.65000000E+1	-1.46893244E+1	
-6.60000000E+1	-1.63327209E+1	
-6.55000000E+1	-1.86816096E+1	
-6.50000000E+1	-2.23739925E+1	
-6.45000000E+1	-2.99124354E+1	
-6.40000000E+1	-3.61226256E+1	
-6.35000000E+1	-2.36141269E+1	
-6.30000000E+1	-1.85323834E+1	
-6.25000000E+1	-1.52841529E+1	
-6.20000000E+1	-1.29149966E+1	
-6.15000000E+1	-1.10811287E+1	
-6.10000000E+1	-9.62092965E+0	
-6.05000000E+1	-8.44712544E+0	
-6.00000000E+1	-7.50896894E+0	
-5.95000000E+1	-6.77624825E+0	
-5.90000000E+1	-6.23174084E+0	
-5.85000000E+1	-5.86751353E+0	
-5.80000000E+1	-5.68328575E+0	
-5.75000000E+1	-5.68617913E+0	
-5.70000000E+1	-5.89175268E+0	
-5.65000000E+1	-6.32672785E+0	
-5.60000000E+1	-7.03461049E+0	
-5.55000000E+1	-8.08726950E+0	
-5.50000000E+1	-9.61084085E+0	
-5.45000000E+1	-1.18531460E+1	
-5.40000000E+1	-1.54103776E+1	
-5.35000000E+1	-2.25158272E+1	
-5.30000000E+1	-3.14659823E+1	
-5.25000000E+1	-1.75552135E+1	
-5.20000000E+1	-1.24096910E+1	
-5.15000000E+1	-9.24889069E+0	
-5.10000000E+1	-7.04149600E+0	
-5.05000000E+1	-5.42803147E+0	
-5.00000000E+1	-4.24490515E+0	
-4.95000000E+1	-3.40867160E+0	
-4.90000000E+1	-2.87671517E+0	
-4.85000000E+1	-2.63179431E+0	
-4.80000000E+1	-2.67647567E+0	
-4.75000000E+1	-3.03347447E+0	
-4.70000000E+1	-3.75211194E+0	
-4.65000000E+1	-4.92556749E+0	
-4.60000000E+1	-6.73506785E+0	
-4.55000000E+1	-9.58348591E+0	
-4.50000000E+1	-1.46781880E+1	
-4.45000000E+1	-3.25633500E+1	
-4.40000000E+1	-1.67354815E+1	
-4.35000000E+1	-9.99237842E+0	
-4.30000000E+1	-6.33692611E+0	
-4.25000000E+1	-3.94252786E+0	
-4.20000000E+1	-2.28976837E+0	
-4.15000000E+1	-1.16493696E+0	
-4.10000000E+1	-4.68363438E-1	
-4.05000000E+1	-1.57139011E-1	
-4.00000000E+1	-2.25896787E-1	
-3.95000000E+1	-7.04188918E-1	
-3.90000000E+1	-1.66797031E+0	
-3.85000000E+1	-3.27676807E+0	
-3.80000000E+1	-5.88790172E+0	
-3.75000000E+1	-1.05294051E+1	
-3.70000000E+1	-2.39184352E+1	
-3.65000000E+1	-1.47238750E+1	
-3.60000000E+1	-7.27843341E+0	
-3.55000000E+1	-3.46816139E+0	
-3.50000000E+1	-1.05814968E+0	
-3.45000000E+1	5.35400258E-1	
-3.40000000E+1	1.54127888E+0	
-3.35000000E+1	2.05815609E+0	
-3.30000000E+1	2.11721189E+0	
-3.25000000E+1	1.69841077E+0	
-3.20000000E+1	7.21319586E-1	
-3.15000000E+1	-1.00076627E+0	
-3.10000000E+1	-3.91802871E+0	
-3.05000000E+1	-9.49952194E+0	
-3.00000000E+1	-7.05283151E+1	
-2.95000000E+1	-9.09877874E+0	
-2.90000000E+1	-3.12892069E+0	
-2.85000000E+1	1.68285283E-1	
-2.80000000E+1	2.25449790E+0	
-2.75000000E+1	3.57187210E+0	
-2.70000000E+1	4.29635521E+0	
-2.65000000E+1	4.49237975E+0	
-2.60000000E+1	4.15365193E+0	
-2.55000000E+1	3.20018358E+0	
-2.50000000E+1	1.42731407E+0	
-2.45000000E+1	-1.68654377E+0	
-2.40000000E+1	-8.01245805E+0	
-2.35000000E+1	-2.23469298E+1	
-2.30000000E+1	-4.87662843E+0	
-2.25000000E+1	4.54980717E-1	
-2.20000000E+1	3.48818784E+0	
