Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
-9.00000000E+1	-1.00000000E+3	
-8.95000000E+1	-4.67799845E+1	
-8.90000000E+1	-4.67804866E+1	
-8.85000000E+1	-4.67804126E+1	
-8.80000000E+1	-4.67763099E+1	
-8.75000000E+1	-4.67592081E+1	
-8.70000000E+1	-4.67107503E+1	
-8.65000000E+1	-4.65993159E+1	
-8.60000000E+1	-4.63785575E+1	
-8.55000000E+1	-4.59926028E+1	
-8.50000000E+1	-4.53912898E+1	
-8.45000000E+1	-4.45512104E+1	
-8.40000000E+1	-4.34884819E+1	
-8.35000000E+1	-4.22521998E+1	
-8.30000000E+1	-4.09044864E+1	
-8.25000000E+1	-3.95022460E+1	
-8.20000000E+1	-3.80885799E+1	
-8.15000000E+1	-3.66922274E+1	
-8.10000000E+1	-3.53305493E+1	
-8.05000000E+1	-3.40130284E+1	
-8.00000000E+1	-3.27441037E+1	
-7.95000000E+1	-3.15251500E+1	
-7.90000000E+1	-3.03557646E+1	
-7.85000000E+1	-2.92345699E+1	
-7.80000000E+1	-2.81597014E+1	
-7.75000000E+1	-2.71290996E+1	
-7.70000000E+1	-2.61406797E+1	
-7.65000000E+1	-2.51924287E+1	
-7.60000000E+1	-2.42824573E+1	
-7.55000000E+1	-2.34090255E+1	
-7.50000000E+1	-2.25705522E+1	
-7.45000000E+1	-2.17656165E+1	
-7.40000000E+1	-2.09929531E+1	
-7.35000000E+1	-2.02514460E+1	
-7.30000000E+1	-1.95401207E+1	
-7.25000000E+1	-1.88581364E+1	
-7.20000000E+1	-1.82047790E+1	
-7.15000000E+1	-1.75794543E+1	
-7.10000000E+1	-1.69816825E+1	
-7.05000000E+1	-1.64110936E+1	
-7.00000000E+1	-1.58674241E+1	
-6.95000000E+1	-1.53505144E+1	
-6.90000000E+1	-1.48603080E+1	
-6.85000000E+1	-1.43968514E+1	
-6.80000000E+1	-1.39602959E+1	
-6.75000000E+1	-1.35509007E+1	
-6.70000000E+1	-1.31690375E+1	
-6.65000000E+1	-1.28151972E+1	
-6.60000000E+1	-1.24899991E+1	
-6.55000000E+1	-1.21942019E+1	
-6.50000000E+1	-1.19287192E+1	
-6.45000000E+1	-1.16946375E+1	
-6.40000000E+1	-1.14932404E+1	
-6.35000000E+1	-1.13260380E+1	
-6.30000000E+1	-1.11948047E+1	
-6.25000000E+1	-1.11016274E+1	
-6.20000000E+1	-1.10489673E+1	
-6.15000000E+1	-1.10397398E+1	
-6.10000000E+1	-1.10774203E+1	
